epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,564.93,1.03457,0.67097,0.97602,0.7569,0.70232,0.75072,0.48002,0.94763,0.5943,0.95453,0.0089275,0.0089275,0.0089275
15,605.657,1.02986,0.66463,0.97488,0.80157,0.66051,0.7309,0.47057,0.95722,0.60587,0.95365,0.008845,0.008845,0.008845
16,645.279,1.01673,0.6549,0.97167,0.82067,0.67895,0.76283,0.46767,0.9485,0.58761,0.9502,0.0087625,0.0087625,0.0087625
17,1196.92,1.00742,0.64854,0.96733,0.83712,0.65512,0.75904,0.48582,0.92034,0.59149,0.94785,0.00868,0.00868,0.00868
18,1236.99,0.99341,0.63509,0.96433,0.83947,0.68276,0.75881,0.48087,0.92795,0.58122,0.95322,0.0085975,0.0085975,0.0085975
19,1276.86,0.99225,0.63648,0.96263,0.8077,0.69072,0.77243,0.48897,0.91781,0.57479,0.94627,0.008515,0.008515,0.008515
20,1316.92,0.97251,0.61925,0.95657,0.81752,0.70139,0.77307,0.49727,0.90743,0.57067,0.94479,0.0084325,0.0084325,0.0084325
21,1356.97,0.96537,0.61329,0.9569,0.8484,0.69544,0.78704,0.5003,0.89626,0.55706,0.93994,0.00835,0.00835,0.00835
22,1397.08,0.96675,0.61385,0.95361,0.87557,0.6893,0.78623,0.51495,0.8992,0.55771,0.93989,0.0082675,0.0082675,0.0082675
23,1437.03,0.96063,0.6104,0.95024,0.82928,0.71627,0.79105,0.50691,0.88743,0.55589,0.93809,0.008185,0.008185,0.008185
24,1477.32,0.94765,0.60222,0.94868,0.84649,0.71196,0.7789,0.50947,0.87523,0.53798,0.9345,0.0081025,0.0081025,0.0081025
25,1517.42,0.94636,0.59772,0.94755,0.84261,0.71784,0.79921,0.52044,0.88147,0.53572,0.93832,0.00802,0.00802,0.00802
26,1557.56,0.93827,0.59199,0.94487,0.84462,0.70496,0.79537,0.52436,0.86216,0.52864,0.92707,0.0079375,0.0079375,0.0079375
27,1597.64,0.93372,0.58533,0.94323,0.8799,0.69839,0.79625,0.51761,0.86009,0.52993,0.92902,0.007855,0.007855,0.007855
28,1637.91,0.92813,0.58433,0.94316,0.85222,0.72953,0.81067,0.52969,0.86576,0.52101,0.92696,0.0077725,0.0077725,0.0077725
29,1678.02,0.92343,0.58218,0.94107,0.87239,0.72559,0.80933,0.53107,0.85389,0.52529,0.92425,0.00769,0.00769,0.00769
30,1718.72,0.91946,0.5779,0.93901,0.84448,0.73509,0.80965,0.525,0.84585,0.51503,0.93139,0.0076075,0.0076075,0.0076075
31,1758.9,0.91278,0.57264,0.93415,0.86205,0.74998,0.82102,0.53111,0.84852,0.51966,0.92488,0.007525,0.007525,0.007525
32,1799.03,0.90466,0.5654,0.93297,0.85628,0.73192,0.81177,0.53465,0.83184,0.50835,0.91546,0.0074425,0.0074425,0.0074425
33,1838.61,0.90766,0.56357,0.93251,0.86491,0.7233,0.80977,0.53233,0.84835,0.51664,0.9245,0.00736,0.00736,0.00736
34,2023.78,0.89698,0.56065,0.93258,0.88413,0.73124,0.82041,0.54686,0.83147,0.50353,0.91686,0.0072775,0.0072775,0.0072775
35,2063.88,0.89291,0.55655,0.92824,0.87094,0.74173,0.81818,0.54238,0.84139,0.502,0.91436,0.007195,0.007195,0.007195
36,2104.39,0.88939,0.55213,0.92696,0.84606,0.75086,0.83108,0.55354,0.83248,0.50266,0.91548,0.0071125,0.0071125,0.0071125
37,2144.64,0.88488,0.54831,0.92755,0.86626,0.72358,0.82915,0.54995,0.82496,0.49412,0.9174,0.00703,0.00703,0.00703
38,2184.5,0.87951,0.54527,0.92239,0.8984,0.75475,0.83635,0.55229,0.8112,0.49123,0.90913,0.0069475,0.0069475,0.0069475
39,2224.25,0.88058,0.54335,0.92329,0.87402,0.7521,0.83765,0.56286,0.81327,0.4859,0.90961,0.006865,0.006865,0.006865
40,2264.35,0.8723,0.54029,0.92192,0.83984,0.77855,0.84303,0.56314,0.80389,0.48451,0.9015,0.0067825,0.0067825,0.0067825
41,2304.66,0.87673,0.5412,0.92217,0.88336,0.74081,0.83783,0.56205,0.80932,0.48844,0.9042,0.0067,0.0067,0.0067
42,2344.15,0.86753,0.53488,0.91818,0.90492,0.73486,0.85069,0.56525,0.80769,0.47289,0.90944,0.0066175,0.0066175,0.0066175
